Form Name,Form Created,Form Submitted,County,GPS Latitude,GPS Longitude,GPS Accuracy,Kenya Questionnaire,Kenya Multi Sector Mapping Project,In What Year Did This Establishment Begin Operations?,"How Many Services (Kenswitch, Mastercard, Pesa Point, Visa) Does the ATM Offer?",How Many Machines are Located at the ATM Booth?
Stand alone ATM,2015/03/17 11:53:23 AM,2015/03/17 12:00:04 PM,NAIROBI,-1.18378,36.90175,12,Financial,Stand alone ATM,2015/03/17,1,1
Stand alone ATM,2015/03/17 12:04:15 PM,2015/03/17 12:06:34 PM,NAIROBI,-1.23332,36.87287,8,Financial,Stand alone ATM,2013/01/14,4,1
Stand alone ATM,2015/03/17 02:42:27 PM,2015/03/17 02:55:47 PM,NAKURU,-0.30152,36.07325,9,Financial,Stand alone ATM,2010/01/01,1,1
Stand alone ATM,2015/03/17 03:15:17 PM,2015/03/17 03:18:12 PM,KISUMU,-0.10439,34.75216,11,Financial,Stand alone ATM,2013/01/01,3,1
Stand alone ATM,2015/03/17 03:18:37 PM,2015/03/17 03:21:44 PM,KISUMU,-0.10438,34.75221,10,Financial,Stand alone ATM,2013/01/01,2,1
Stand alone ATM,2015/03/17 03:22:14 PM,2015/03/17 03:26:01 PM,KISUMU,-0.10451,34.75214,10,Financial,Stand alone ATM,2013/01/01,4,1
Stand alone ATM,2015/03/17 03:59:08 PM,2015/03/17 04:01:18 PM,NAIROBI,-1.2641,36.82433,11,Financial,Stand alone ATM,2013/01/01,2,1
Stand alone ATM,2015/03/17 04:01:38 PM,2015/03/17 04:05:55 PM,NAIROBI,-1.26377,36.82431,13,Financial,Stand alone ATM,2015/01/01,3,1
Stand alone ATM,2015/03/17 04:06:31 PM,2015/03/17 04:09:04 PM,NAIROBI,-1.26367,36.82401,11,Financial,Stand alone ATM,2015/01/01,1,1
Stand alone ATM,2015/03/17 04:09:36 PM,2015/03/17 04:12:12 PM,NAIROBI,-1.26365,36.82421,10,Financial,Stand alone ATM,2014/01/01,3,1
Stand alone ATM,2015/03/17 11:49:10 AM,2015/03/17 04:14:37 PM,KISII,-0.67343,34.77411,14,Financial,Stand alone ATM,2014/01/01,1,2
Stand alone ATM,2015/03/17 04:12:28 PM,2015/03/17 04:19:13 PM,NAIROBI,-1.26383,36.82451,9,Financial,Stand alone ATM,2014/01/01,1,1
Stand alone ATM,2015/03/17 04:19:23 PM,2015/03/17 04:29:14 PM,NAIROBI,-1.26643,36.82877,14,Financial,Stand alone ATM,2015/02/23,3,1
Stand alone ATM,2015/03/17 04:29:31 PM,2015/03/17 04:32:17 PM,NAIROBI,-1.26373,36.82464,6,Financial,Stand alone ATM,2014/01/01,1,1
Stand alone ATM,2015/03/18 08:06:59 AM,2015/03/18 08:15:02 AM,MERU,0.08543,37.24149,8,Financial,Stand alone ATM,2015/03/18,4,1
Stand alone ATM,2015/03/18 08:15:30 AM,2015/03/18 08:20:46 AM,MERU,0.0854,37.24149,5,Financial,Stand alone ATM,2014/06/01,1,1
Stand alone ATM,2015/03/18 08:26:04 AM,2015/03/18 08:41:24 AM,MERU,0.0861,37.24278,5,Financial,Stand alone ATM,2012/01/01,2,1
Stand alone ATM,2015/03/16 03:12:11 PM,2015/03/18 09:20:57 AM,NAIROBI,-1.28804,36.88119,8,Financial,Stand alone ATM,2009/01/01,1,1
Stand alone ATM,2015/03/18 09:31:03 AM,2015/03/18 09:34:13 AM,NAIROBI,-1.28799,36.88122,4,Financial,Stand alone ATM,2008/01/01,2,2
Stand alone ATM,2015/03/18 10:17:36 AM,2015/03/18 10:20:16 AM,NAIROBI,-1.26986,36.9131,15,Financial,Stand alone ATM,2015/03/18,4,1
Stand alone ATM,2015/03/18 10:20:58 AM,2015/03/18 10:24:07 AM,NAIROBI,-1.26979,36.91312,6,Financial,Stand alone ATM,2010/03/18,4,1
Stand alone ATM,2015/03/18 11:06:29 AM,2015/03/18 11:11:39 AM,NAIROBI,-1.24763,36.87216,6,Financial,Stand alone ATM,2011/05/20,4,1
Stand alone ATM,2015/03/18 11:20:48 AM,2015/03/18 11:24:55 AM,NAIROBI,-1.2477,36.87248,6,Financial,Stand alone ATM,2011/05/20,2,2
Stand alone ATM,2015/03/18 11:25:03 AM,2015/03/18 11:28:09 AM,NAIROBI,-1.24755,36.87254,6,Financial,Stand alone ATM,2011/05/20,2,2
Stand alone ATM,2015/03/18 11:38:23 AM,2015/03/18 11:42:08 AM,NAIROBI,-1.28815,36.88127,10,Financial,Stand alone ATM,2011/01/01,3,1
Stand alone ATM,2015/03/18 11:40:43 AM,2015/03/18 11:44:04 AM,NAIROBI,-1.26283,36.80257,10,Financial,Stand alone ATM,2014/12/18,3,1
Stand alone ATM,2015/03/18 11:44:19 AM,2015/03/18 11:49:05 AM,NAIROBI,-1.26285,36.80257,11,Financial,Stand alone ATM,2014/11/18,3,1
Stand alone ATM,2015/03/18 11:58:17 AM,2015/03/18 12:03:44 PM,NAKURU,-0.28223,36.09631,5,Financial,Stand alone ATM,2009/01/01,2,1
Stand alone ATM,2015/03/18 12:07:03 PM,2015/03/18 12:12:29 PM,NAIROBI,-1.28487,36.88482,13,Financial,Stand alone ATM,2010/11/09,2,1
Stand alone ATM,2015/03/18 12:14:37 PM,2015/03/18 12:19:30 PM,NAIROBI,-1.28478,36.88474,14,Financial,Stand alone ATM,2012/01/09,3,1
Stand alone ATM,2015/03/18 12:40:22 PM,2015/03/18 12:43:46 PM,NAIROBI,-1.28481,36.8848,11,Financial,Stand alone ATM,2012/09/10,2,1
Stand alone ATM,2015/03/18 12:49:12 PM,2015/03/18 12:54:42 PM,NAIROBI,-1.28464,36.88513,7,Financial,Stand alone ATM,2003/02/20,4,1
Stand alone ATM,2015/03/18 02:44:59 PM,2015/03/18 02:52:26 PM,UASIN GISHU,0.51527,35.27356,6,Financial,Stand alone ATM,2012/06/20,3,1
Stand alone ATM,2015/03/18 02:52:50 PM,2015/03/18 02:57:33 PM,UASIN GISHU,0.51541,35.27371,19,Financial,Stand alone ATM,2013/03/25,3,1
Stand alone ATM,2015/03/19 09:10:26 AM,2015/03/19 09:14:48 AM,NAIROBI,-1.21044,36.87453,13,Financial,Stand alone ATM,2015/03/19,2,1
Stand alone ATM,2015/03/19 10:20:44 AM,2015/03/19 10:29:29 AM,MOMBASA,-4.00354,39.63086,5,Financial,Stand alone ATM,2014/02/20,4,1
Stand alone ATM,2015/03/19 10:32:36 AM,2015/03/19 10:36:06 AM,NAIROBI,-1.29542,36.80167,6,Financial,Stand alone ATM,2010/01/01,1,1
Stand alone ATM,2015/03/19 10:36:19 AM,2015/03/19 10:39:04 AM,NAIROBI,-1.2955,36.80167,5,Financial,Stand alone ATM,2008/01/01,1,1
Stand alone ATM,2015/03/19 10:39:40 AM,2015/03/19 10:41:42 AM,NAIROBI,-1.29559,36.80201,5,Financial,Stand alone ATM,2012/03/19,4,1
Stand alone ATM,2015/03/19 11:26:31 AM,2015/03/19 11:33:09 AM,NAIROBI,-1.29497,36.79903,7,Financial,Stand alone ATM,2011/01/01,4,1
Stand alone ATM,2015/03/19 11:33:18 AM,2015/03/19 11:38:24 AM,NAIROBI,-1.29541,36.79993,9,Financial,Stand alone ATM,2013/01/01,1,1
Stand alone ATM,2015/03/19 11:41:48 AM,2015/03/19 11:45:45 AM,NAIROBI,-1.29505,36.80003,9,Financial,Stand alone ATM,2012/01/01,3,1
Stand alone ATM,2015/03/19 11:46:05 AM,2015/03/19 11:48:24 AM,NAIROBI,-1.29505,36.80012,9,Financial,Stand alone ATM,2010/01/01,3,1
Stand alone ATM,2015/03/19 11:48:32 AM,2015/03/19 11:50:41 AM,NAIROBI,-1.29506,36.80002,12,Financial,Stand alone ATM,2009/01/01,2,1
Stand alone ATM,2015/03/19 11:51:14 AM,2015/03/19 11:53:05 AM,NAIROBI,-1.29509,36.80003,10,Financial,Stand alone ATM,2011/01/01,3,1
Stand alone ATM,2015/03/19 11:48:10 AM,2015/03/19 11:54:00 AM,NAIROBI,-1.20482,36.91777,11,Financial,Stand alone ATM,2014/01/01,2,2
Stand alone ATM,2015/03/19 01:26:25 PM,2015/03/19 01:31:02 PM,MURANGA,-0.72069,37.15897,5,Financial,Stand alone ATM,2010/01/01,2,1
Stand alone ATM,2015/03/19 01:58:48 PM,2015/03/19 02:04:26 PM,NAIROBI,-1.31792,36.81405,4,Financial,Stand alone ATM,2010/02/17,4,1
Stand alone ATM,2015/03/19 04:00:46 PM,2015/03/19 04:06:01 PM,NAIROBI,-1.31064,36.8339,9,Financial,Stand alone ATM,2014/02/20,2,1
Stand alone ATM,2015/03/19 04:34:47 PM,2015/03/19 05:00:00 PM,NAIROBI,-1.26022,36.71829,12,Financial,Stand alone ATM,2013/10/26,1,2
Stand alone ATM,2015/03/19 04:49:14 PM,2015/03/19 05:06:17 PM,NAIROBI,-1.21893,36.89082,5,Financial,Stand alone ATM,2015/03/19,2,1
Stand alone ATM,2015/03/19 04:48:28 PM,2015/03/19 05:18:04 PM,NAIROBI,-1.29488,36.8768,13,Financial,Stand alone ATM,2012/01/01,3,1
Stand alone ATM,2015/03/20 09:28:32 AM,2015/03/20 09:31:55 AM,NAIROBI,-1.32264,36.80178,4,Financial,Stand alone ATM,2013/01/09,3,1
Stand alone ATM,2015/03/20 09:32:05 AM,2015/03/20 09:34:21 AM,NAIROBI,-1.32263,36.80182,5,Financial,Stand alone ATM,2013/04/03,4,1
Stand alone ATM,2015/03/20 09:38:54 AM,2015/03/20 09:43:11 AM,NAIROBI,-1.32271,36.80217,6,Financial,Stand alone ATM,2015/03/20,1,1
Stand alone ATM,2015/03/20 09:43:59 AM,2015/03/20 09:51:02 AM,NAIROBI,-1.32269,36.80216,5,Financial,Stand alone ATM,2014/12/31,4,1
Stand alone ATM,2015/03/20 09:52:00 AM,2015/03/20 09:56:42 AM,NAIROBI,-1.32265,36.80219,5,Financial,Stand alone ATM,2012/02/18,3,1
Stand alone ATM,2015/03/20 09:26:56 AM,2015/03/20 09:59:59 AM,KISII,-0.67893,34.70813,7,Financial,Stand alone ATM,2010/01/01,3,1
Stand alone ATM,2015/03/20 12:11:46 PM,2015/03/20 12:26:52 PM,NAIROBI,-1.2199,36.88918,8,Financial,Stand alone ATM,2013/06/20,3,1
Stand alone ATM,2015/03/20 12:27:01 PM,2015/03/20 12:34:31 PM,NAIROBI,-1.21938,36.88769,9,Financial,Stand alone ATM,2013/07/20,3,1
Stand alone ATM,2015/03/20 12:34:49 PM,2015/03/20 12:39:03 PM,NAIROBI,-1.21939,36.88768,6,Financial,Stand alone ATM,2013/07/20,2,1
Stand alone ATM,2015/03/20 12:39:13 PM,2015/03/20 12:41:11 PM,NAIROBI,-1.21925,36.88775,7,Financial,Stand alone ATM,2013/08/01,2,1
Stand alone ATM,2015/03/20 12:41:25 PM,2015/03/20 12:43:39 PM,NAIROBI,-1.21936,36.88767,7,Financial,Stand alone ATM,2015/03/20,2,1
Stand alone ATM,2015/03/20 12:43:50 PM,2015/03/20 12:46:43 PM,NAIROBI,-1.21935,36.88769,8,Financial,Stand alone ATM,2015/03/20,2,1
Stand alone ATM,2015/03/20 12:46:57 PM,2015/03/20 12:49:14 PM,NAIROBI,-1.21924,36.88775,7,Financial,Stand alone ATM,2015/03/20,2,1
Stand alone ATM,2015/03/20 12:49:24 PM,2015/03/20 12:52:04 PM,NAIROBI,-1.21935,36.88776,7,Financial,Stand alone ATM,2013/06/01,2,1
Stand alone ATM,2015/03/20 12:52:16 PM,2015/03/20 12:54:27 PM,NAIROBI,-1.21958,36.88757,11,Financial,Stand alone ATM,2015/03/20,2,1
Stand alone ATM,2015/03/20 12:54:37 PM,2015/03/20 12:56:53 PM,NAIROBI,-1.21899,36.88801,9,Financial,Stand alone ATM,2015/03/20,1,1
Stand alone ATM,2015/03/20 01:01:34 PM,2015/03/20 01:08:00 PM,WEST POKOT,1.25635,35.09219,5,Financial,Stand alone ATM,2012/01/16,2,2
Stand alone ATM,2015/03/20 02:23:50 PM,2015/03/20 02:28:20 PM,NAIROBI,-1.29478,36.81223,8,Financial,Stand alone ATM,2010/03/20,2,1
Stand alone ATM,2015/03/20 02:30:24 PM,2015/03/20 02:35:16 PM,KWALE,-4.46123,39.47632,10,Financial,Stand alone ATM,2010/01/01,2,1
Stand alone ATM,2015/03/20 02:42:18 PM,2015/03/20 02:46:04 PM,NAIROBI,-1.29468,36.81206,10,Financial,Stand alone ATM,2013/01/01,2,1
Stand alone ATM,2015/03/20 02:54:56 PM,2015/03/20 02:59:28 PM,UASIN GISHU,0.51985,35.26939,15,Financial,Stand alone ATM,2013/01/01,3,1
Stand alone ATM,2015/03/20 03:34:36 PM,2015/03/20 03:43:48 PM,NAIROBI,-1.29225,36.81325,14,Financial,Stand alone ATM,2009/01/01,2,1
Stand alone ATM,2015/03/21 12:18:35 PM,2015/03/21 12:28:27 PM,MOMBASA,-4.07507,39.66581,13,Financial,Stand alone ATM,2012/05/23,3,1
Stand alone ATM,2015/03/21 12:16:51 PM,2015/03/21 12:32:30 PM,MOMBASA,-4.07515,39.66596,5,Financial,Stand alone ATM,2009/03/21,3,1
Stand alone ATM,2015/03/21 12:27:23 PM,2015/03/21 12:33:26 PM,MOMBASA,-4.07517,39.66591,5,Financial,Stand alone ATM,2013/01/15,3,1
