County,GPS Latitude,GPS Longitude
MAKUENI,-1.3626,36.65359
VIHIGA,0.12733,34.84856
NANDI,0.51271,35.28079
NANDI,0.51262,35.28083
KIAMBU,-0.9895799999999999,36.95297
BOMET,-0.67577,35.13921
BOMET,-0.68962,35.11205
VIHIGA,0.15068,34.9291
BOMET,-0.67572,35.13995
NANDI,0.25451999999999997,35.08155
KAJIADO,-2.80082,37.53711
KISUMU,-0.10303,34.7524
KISUMU,-0.1077,34.7693
KISUMU,-0.1076,34.76933
NANDI,0.67002,35.50806
BOMET,-0.6762199999999999,35.13961
NANDI,0.52003,35.27595
NANDI,0.51913,35.27173
NAKURU,-0.28508,36.06514
NAKURU,-0.28462,36.068690000000004
KAJIADO,-1.8983900000000002,36.28845
NAKURU,-0.3015,36.07314
NAKURU,-0.28407,36.07377
NAKURU,-0.2833,36.07255
NANDI,0.5150899999999999,35.2741
NAKURU,-0.2843,36.072540000000004
NYAMIRA,-0.6036100000000001,34.958009999999994
NANDI,0.07181,35.13926
KERICHO,-0.3166,35.375409999999995
KERICHO,-0.31655,35.37529
KERICHO,-0.33994,35.34603
KERICHO,-0.35546,35.348490000000005
KERICHO,-0.36824,35.28137
KAKAMEGA,0.28865,34.757659999999994
BOMET,-0.61892,35.27111
KERICHO,-0.47213,35.18545
NAIROBI,-1.28778,36.82786
NAIROBI,-1.28125,36.8229
NAIROBI,-1.28759,36.82519
NYERI,-0.39363000000000004,37.00168
NYERI,-0.39365,37.00161
NAIROBI,-1.29205,36.809909999999995
NAIROBI,-1.29236,36.81343
NAIROBI,-1.29193,36.81301
NAIROBI,-1.30746,36.823440000000005
NAIROBI,-1.30741,36.82333
NAIROBI,-1.3076299999999998,36.82263
NAIROBI,-1.30779,36.82251
UASIN GISHU,0.51247,35.28079
UASIN GISHU,0.51253,35.28089
NAIROBI,-1.30771,36.822520000000004
NAIROBI,-1.30146,36.77984
NAIROBI,-1.29997,36.78993
NAIROBI,-1.2999,36.79
NAIROBI,-1.29015,36.77073
NAIROBI,-1.30039,36.78688
NAIROBI,-1.30029,36.7869
NAIROBI,-1.3005200000000001,36.786429999999996
NAIROBI,-1.29026,36.770720000000004
NAIROBI,-1.30618,36.76871
NAIROBI,-1.2904200000000001,36.77077
NAIROBI,-1.29976,36.79074
NAIROBI,-1.29041,36.77067
NAIROBI,-1.2998299999999998,36.79078
NAIROBI,-1.3002799999999999,36.78692
NAIROBI,-1.30021,36.7872
NAIROBI,-1.29986,36.79061
NAIROBI,-1.3000200000000002,36.79051
NAIROBI,-1.30075,36.78645
NAIROBI,-1.29036,36.77032
NAIROBI,-1.3108899999999999,36.817440000000005
NAIROBI,-1.32437,36.80292
NAIROBI,-1.3236,36.80368
NAIROBI,-1.3211700000000002,36.79815
NAIROBI,-1.29214,36.81258
NAIROBI,-1.30051,36.808
NAIROBI,-1.3002,36.807829999999996
NAIROBI,-1.30006,36.80812
NAIROBI,-1.29995,36.80815
NAKURU,-0.83391,36.34997
NAKURU,-0.8338899999999999,36.349709999999995
NAKURU,-0.8367399999999999,36.3572
MOMBASA,-4.07421,39.66605
NAKURU,-0.30307,35.81297
MOMBASA,-4.0488,39.68558
KILIFI,-3.8492,39.63275
NAIROBI,-1.2347,36.93195
