County,GPS Latitude,GPS Longitude
KERICHO,-0.50529,35.10025
KERICHO,-0.50503,35.099090000000004
NYANDARUA,-0.60717,36.57759
MACHAKOS,-1.41204,37.47296
KILIFI,-3.2187200000000002,40.11875
NAROK,-1.52204,35.33932
NYAMIRA,-0.6837,34.9456
NYAMIRA,-0.6034,34.95836
BOMET,-0.61865,35.27189
NANDI,0.18854,34.95329
NYAMIRA,-0.60169,34.96382
BUSIA,0.46026000000000006,34.10215
NANDI,0.07439,35.14656
NANDI,-0.03895,35.17931
KERICHO,-0.37285,35.28082
NYAMIRA,-0.5683,34.936370000000004
KAJIADO,-1.14782,36.49785
KERICHO,-0.36815,35.28477
NAIROBI,-1.28572,36.819520000000004
NYAMIRA,-0.73215,35.03242
KERICHO,-0.5847100000000001,35.19015
KERICHO,-0.49441,35.12945
NAIROBI,-1.27315,36.818000000000005
NYERI,-0.38569000000000003,37.08328
UASIN GISHU,0.512,35.27937
NAIROBI,-1.275,36.82132
NAIROBI,-1.28593,36.81969
NYAMIRA,-0.8279299999999999,35.02565
NYAMIRA,-0.56428,34.936659999999996
NYAMIRA,-0.6132,35.0288
NYAMIRA,-0.48389,35.02244
NYAMIRA,-0.48253,34.97193
NYAMIRA,-0.48163,34.97208
NYAMIRA,-0.5250600000000001,34.9896
KILIFI,-3.22091,40.11391
NYERI,-0.5635100000000001,37.05109
KILIFI,-3.2214099999999997,40.1121
NAIROBI,-1.29129,36.841440000000006
NAIROBI,-1.26722,36.98964
NAKURU,-0.30238000000000004,35.811659999999996
KIAMBU,-1.1471200000000001,36.9593
NAIROBI,-1.20929,36.91515
KILIFI,-3.81691,39.6278
KILIFI,-3.8183599999999998,39.80822
KILIFI,-3.21333,40.11862
NAIROBI,-1.2877100000000001,36.83093
NAIROBI,-1.29237,36.82125
NAIROBI,-1.26909,36.81152
KILIFI,-3.23565,40.112809999999996
KILIFI,-3.23529,40.11225
NAIROBI,-1.28138,36.82105
NAIROBI,-1.28835,36.74283
NAIROBI,-1.30245,36.7595
MACHAKOS,-1.36006,36.90961
ELGEYO MARAKWET,0.6684399999999999,35.50497
BARINGO,0.98465,35.97283
NAIROBI,-1.2848600000000001,36.830999999999996
NAIROBI,-1.2812700000000001,36.823809999999995
NAIROBI,-1.2889700000000002,36.74143
NAIROBI,-1.28461,36.73764
NAIROBI,-1.28645,36.8269
KAJIADO,-1.3635899999999999,36.65637
KIAMBU,-1.24521,36.66282
NAIROBI,-1.28964,36.82197
KAJIADO,-1.36353,36.65625
NAIROBI,-1.2827600000000001,36.82546
NAIROBI,-1.29574,36.815090000000005
NAIROBI,-1.29931,36.81565
NAIROBI,-1.28772,36.74928
NAIROBI,-1.29851,36.81544
NAIROBI,-1.29444,36.812490000000004
UASIN GISHU,0.5174,35.27771
NAIROBI,-1.2685799999999998,36.91382
TANA RIVER,-1.4979799999999999,40.03604
NAIROBI,-1.20581,36.914559999999994
MACHAKOS,-1.51935,37.269529999999996
KIAMBU,-1.17153,36.8288
NAIROBI,-1.28751,36.82889
NAIROBI,-1.28791,36.82808
NAIROBI,-1.20353,36.916540000000005
KIAMBU,-1.03338,37.07869
KIAMBU,-1.0338100000000001,37.07479
KIAMBU,-1.03425,37.07481
KIAMBU,-1.03557,37.074690000000004
KIAMBU,-1.0349700000000002,37.07468
NAKURU,-0.7157600000000001,36.43176
NAKURU,-0.36445,35.94288
GARISSA,-0.45496000000000003,39.64094
KIAMBU,-1.03496,37.074690000000004
KIAMBU,-1.17103,36.82804
NAKURU,-0.71863,36.43636
KIAMBU,-1.03721,37.07355
NAKURU,-0.28546,36.067370000000004
KIAMBU,-1.2200600000000001,36.71366
KIAMBU,-1.14699,36.958859999999994
KIAMBU,-1.2229,36.72034
KIAMBU,-1.01263,36.90486
NAKURU,-0.28507,36.065090000000005
KIAMBU,-1.14704,36.95912
KIAMBU,-1.24587,36.662279999999996
KIAMBU,-1.24473,36.662009999999995
NAIROBI,-1.2664,36.74947
KIAMBU,-1.14715,36.96005
NAIROBI,-1.2735299999999998,36.82027
KIAMBU,-1.1490200000000002,36.958859999999994
KIAMBU,-1.10927,36.643229999999996
KIAMBU,-1.10858,36.64181
KIAMBU,-1.17213,36.75796
NAKURU,-0.16683,35.96263
KIAMBU,-1.0589899999999999,36.77466
KIAMBU,-1.17245,36.75842
KAJIADO,-1.34275,36.6663
NAKURU,-0.72036,36.434
NAIROBI,-1.2813299999999999,36.82369
BARINGO,0.04895,35.72623
NAIROBI,-1.24819,36.87332
KIAMBU,-1.17123,36.82847
KIAMBU,-1.17201,36.82952
NAIROBI,-1.36261,36.655409999999996
KIAMBU,-1.03779,37.0739
NAIROBI,-1.29603,36.88682
KAJIADO,-1.3626,36.655409999999996
KIAMBU,-1.03511,37.0745
KIAMBU,-1.03678,37.07562
KIAMBU,-1.03695,37.07652
KIAMBU,-1.03817,37.07695
KIAMBU,-1.0391700000000001,37.07764
NAKURU,-0.28619,36.07395
NAKURU,-0.28334000000000004,36.07506
MOMBASA,-4.061380000000001,39.66424
NAKURU,-0.28552,36.0652
NAKURU,-0.28598,36.06543
NAKURU,-0.28576999999999997,36.06547
NAKURU,-0.28465999999999997,36.07244
KIAMBU,-1.042,37.071
KIAMBU,-1.03754,37.06807
TRANS NZOIA,1.0134100000000001,34.99831
NAIROBI,-1.28365,36.82338
NAIROBI,-1.28439,36.83024
KISUMU,-0.10587,34.75286
NAIROBI,-1.33918,36.91962
MOMBASA,-4.05344,39.67073
NAIROBI,-1.28322,36.81864
KIAMBU,-1.14858,36.95861
NAIROBI,-1.2927,36.79849
KIAMBU,-1.16655,36.82249
KIAMBU,-1.16757,36.82549
NAKURU,-0.49946,36.32314
KIAMBU,-0.9811,36.629670000000004
NAKURU,-0.49962,36.32355
